ID	OPERATEID	USERID	USERIP	URL	STARTTIME	ENDTIME	MODULE	DESCRIPTION	MACADDR	TIMECOST	OPERATE
175	56b4fa80e6e411e350d36d6d228a3858	admin		/authorization/controller/UserController/dataGrid.do	2014/5/29 11:50:13	2014/5/29 11:50:13				16	
176	5838b450e6e411e350d36d6d228a3858	admin		/authorization/controller/UserController/dataGrid.do	2014/5/29 11:50:15	2014/5/29 11:50:15				9	
177	588a08a0e6e411e350d36d6d228a3858	admin		/authorization/controller/UserController/dataGrid.do	2014/5/29 11:50:16	2014/5/29 11:50:16				9	
178	89f45530e6e411e350d36d6d228a3858	admin		/authorization/controller/PrivController/queryTreeGrid.do	2014/5/29 11:51:39	2014/5/29 11:51:39				24	
179	1aee7020e6e511e350d36d6d228a3858	admin		/authorization/controller/UserController/dataGrid.do	2014/5/29 11:55:42	2014/5/29 11:55:42				13	
180	1b10ec40e6e511e350d36d6d228a3858	admin		/authorization/controller/GroupController/dataGrid.do	2014/5/29 11:55:42	2014/5/29 11:55:42				9	
181	1b8ad730e6e511e350d36d6d228a3858	admin		/authorization/controller/PrivController/queryTreeGrid.do	2014/5/29 11:55:43	2014/5/29 11:55:43				17	
182	32ffefe0e6e511e350d36d6d228a3858	admin		/authorization/controller/GroupController/dataGrid.do	2014/5/29 11:56:22	2014/5/29 11:56:22				28	
183	33369040e6e511e350d36d6d228a3858	admin		/authorization/controller/UserController/dataGrid.do	2014/5/29 11:56:23	2014/5/29 11:56:23				11	
184	33a29880e6e511e350d36d6d228a3858	admin		/authorization/controller/PrivController/queryTreeGrid.do	2014/5/29 11:56:23	2014/5/29 11:56:23				16	
185	3c26c580e6e511e350d36d6d228a3858	admin		/authorization/controller/UserController/dataGrid.do	2014/5/29 11:56:38	2014/5/29 11:56:38				11	
170	7c494c70e6e311e350d36d6d228a3858	admin		/authorization/controller/UserController/dataGrid.do	2014/5/29 11:44:06	2014/5/29 11:44:06				84	
251	b8131f40e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/GroupController/assignUser.do	2014/5/29 13:11:41	2014/5/29 13:11:41				5	
252	b81bf8e0e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:11:41	2014/5/29 13:11:41				6	
253	b81c6e10e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:11:41	2014/5/29 13:11:41				9	
254	bb125580e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/PrivController/queryTreeGrid.do	2014/5/29 13:11:46	2014/5/29 13:11:46				32	
