SYS_SQLLOG_ID	SQLID	USERID	USERIP	MACADDR	SQL	STARTTIME	ENDTIME	SUCCESS	TYPE	TIMECOST
369	253ab2f0e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_logonlog_id) as count from SYS_LOGONLOG	2014/5/29 11:55:59	2014/5/29 11:55:59	01	01	2
370	32ff2c90e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_group_id, groupname, cuserid, cdate, euserid, edate, memo from SYS_GROUP	2014/5/29 11:56:22	2014/5/29 11:56:22	01	01	3
371	32ffa1c0e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_group_id) as count from SYS_GROUP	2014/5/29 11:56:22	2014/5/29 11:56:22	01	01	2
372	3335ccf0e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_user_id,username,cuserid,cdate,euserid,edate,password,isvalid,usercode from SYS_USER  WHERE sys_user_id != 1 and isvalid != 'D'	2014/5/29 11:56:23	2014/5/29 11:56:23	01	01	4
373	33364220e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_user_id) as count from SYS_USER  WHERE sys_user_id != 1 and isvalid != 'D'	2014/5/29 11:56:23	2014/5/29 11:56:23	01	01	3
374	33a0ead0e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_privilege_id,name,menutype,url,memo,logflag,cuserid,cdate,euserid,edate,parentid ,(CASE WHEN menutype = 0 then '菜单' when menutype = 1 then '按钮' else '' END) as menuname from SYS_PRIVILEGE	2014/5/29 11:56:23	2014/5/29 11:56:23	01	01	4
375	3c260230e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_user_id,username,cuserid,cdate,euserid,edate,password,isvalid,usercode from SYS_USER  WHERE sys_user_id != 1 and isvalid != 'D'	2014/5/29 11:56:38	2014/5/29 11:56:38	01	01	4
376	3c269e70e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_user_id) as count from SYS_USER  WHERE sys_user_id != 1 and isvalid != 'D'	2014/5/29 11:56:38	2014/5/29 11:56:38	01	01	3
377	3c761e00e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_user_id,username,cuserid,cdate,euserid,edate,password,isvalid,usercode from SYS_USER  WHERE sys_user_id != 1 and isvalid != 'D'	2014/5/29 11:56:38	2014/5/29 11:56:38	01	01	4
378	3c76ba40e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_user_id) as count from SYS_USER  WHERE sys_user_id != 1 and isvalid != 'D'	2014/5/29 11:56:38	2014/5/29 11:56:38	01	01	3
379	3e3cfb50e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_group_id, groupname, cuserid, cdate, euserid, edate, memo from SYS_GROUP  WHERE SYS_GROUP_ID   (select sys_group_id from SYS_USER_GROUP where SYS_USER_ID = ?)	2014/5/29 11:56:41	2014/5/29 11:56:41	01	01	3
380	3e3d4970e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_group_id) as count from SYS_GROUP  WHERE SYS_GROUP_ID   (select sys_group_id from SYS_USER_GROUP where SYS_USER_ID = ?)	2014/5/29 11:56:41	2014/5/29 11:56:41	01	01	2
381	3e3e5ae0e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_group_id, groupname, cuserid, cdate, euserid, edate, memo from SYS_GROUP  WHERE SYS_GROUP_ID   (select sys_group_id from SYS_USER_GROUP where SYS_USER_ID = ?)	2014/5/29 11:56:41	2014/5/29 11:56:41	01	01	3
382	3e3ef720e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_group_id) as count from SYS_GROUP  WHERE SYS_GROUP_ID   (select sys_group_id from SYS_USER_GROUP where SYS_USER_ID = ?)	2014/5/29 11:56:41	2014/5/29 11:56:41	01	01	4
383	401eb3a0e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_group_id, groupname, cuserid, cdate, euserid, edate, memo from SYS_GROUP  WHERE SYS_GROUP_ID   (select sys_group_id from SYS_USER_GROUP where SYS_USER_ID = ?)	2014/5/29 11:56:44	2014/5/29 11:56:44	01	01	3
384	401f28d0e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_group_id) as count from SYS_GROUP  WHERE SYS_GROUP_ID   (select sys_group_id from SYS_USER_GROUP where SYS_USER_ID = ?)	2014/5/29 11:56:44	2014/5/29 11:56:44	01	01	2
385	40d72e30e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_group_id, groupname, cuserid, cdate, euserid, edate, memo from SYS_GROUP  WHERE SYS_GROUP_ID   (select sys_group_id from SYS_USER_GROUP where SYS_USER_ID = ?)	2014/5/29 11:56:46	2014/5/29 11:56:46	01	01	4
386	40d7a360e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_group_id) as count from SYS_GROUP  WHERE SYS_GROUP_ID   (select sys_group_id from SYS_USER_GROUP where SYS_USER_ID = ?)	2014/5/29 11:56:46	2014/5/29 11:56:46	01	01	2
321	be87c3a0e6e311e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_logonlog_id) as count from SYS_LOGONLOG	2014/5/29 11:45:57	2014/5/29 11:45:57	01	01	3
322	f6954830e6e311e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_logonlog_id id, userid usercode, u.username username, ip ip, macaddr mac, logontime logontime, logofftime logofftime, logonflag logonflag, logfailedreason reason from SYS_LOGONLOG left outer join SYS_USER u on SYS_LOGONLOG.userid = u.usercode	2014/5/29 11:47:32	2014/5/29 11:47:32	01	01	13
323	f695e470e6e311e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_logonlog_id) as count from SYS_LOGONLOG	2014/5/29 11:47:32	2014/5/29 11:47:32	01	01	4
